id	target_txt	prediction
1100  ch_zh_0410.wav	heute ist davon kaum noch etwas zu sehen	wir haben diesen sich diese sich die schweizen
1426  ch_sg_2261.wav	du malst das ja sehr bunt aus	sie haben sie die schweissen wieder auf der statten
53  ch_vs_2695.wav	aber vielleicht ist es tatsächlich übertrieben	das ist eine schweisen sich die schweizen
1209  ch_zh_2953.wav	die zahl der betroffenen schwankt	wir haben diese sich dieser schweizerten
1747  ch_ag_2588.wav	sie war ausgeruht hungrig glücklich	wir haben diese sich dieser schweizerten
2069  ch_lu_1018.wav	diese volksbräuche sind europaweit verbreitet	wir haben diesen antrag diesesen antrag diese antragen
2022  ch_bs_0384.wav	dies ist wichtig bei enteignungen	wir haben diesen auch diesen antragen
819  ch_gr_2561.wav	eine alte frau schrie auf	wir haben diesen sich die eine schweizen
1715  ch_ag_1888.wav	am abend nicht ganz wolkenlos	wir haben diesen sich diese sich die schweizen
1613  ch_ag_2639.wav	ich spüre seine starke präsenz	das ist eine sich eine schweisen wieder auf der schweisen
2210  ch_lu_1542.wav	ist das illusion oder notwendigkeit	wir haben diesen sich in diesem antragen
817  ch_gr_2207.wav	ich starre in die weiten des ozeans	wir haben diesen sich diesen antragen
2023  ch_bs_2587.wav	doch sein kopf war ausgeruht	das ist eine schweisen diesen sich dass die schweisen
1713  ch_ag_0228.wav	du hast mir damals alles weg gegessen	das ist eine schweisen diese sich die schweisen auf der schweizen
2282  ch_lu_0467.wav	der friseur steht beim waschen hinter ihm	wir haben diesen sich dieser sind dieser auf diesesen sich nicht eine geschaft
560  ch_gr_1864.wav	auf zweitausend metern elf grad	wir haben wir diesen auch diesen antragen
1422  ch_sg_1754.wav	unglaublich er zerpflückt dich ja	wir haben diesen auch diesen antragen
426  ch_be_2273.wav	ich wrang meine kleidung aus	wir haben diesen sich diese sich die schweizen
1543  ch_ag_1125.wav	in der kirche wird eine spende erbeten	wir haben diesen sich diese sich die schweizen
1331  ch_sg_1631.wav	die schweiz eine schwimmnation	sie haben sich die schweissen sich die schweizen
2195  ch_lu_2498.wav	ich hab nach ihr gegriffen und an der mündung gerochen	wir haben diese motion bereitschen
2070  ch_lu_2539.wav	alter freund du schläfst jetzt ein	wir haben diesen sich die schweizen
679  ch_gr_2214.wav	seither hat sie stark abgenommen	wir haben diese sich dieser antragen
1527  ch_ag_2612.wav	da oben hat vor der pause jemand gesessen	wir haben diesen sich diese sich die schweisen
619  ch_gr_2613.wav	jetzt sitze ich zum letzten mal	sie haben diesen sich diese sich die schweizen
2292  ch_lu_2714.wav	wir werden wahrscheinlich alle unbeholfen sein	wir haben diesen antrag diesesen antragen
1168  ch_zh_1684.wav	werden die rennen im tv gezeigt	wir haben diesen antragen diesen antragen
136  ch_vs_2641.wav	du magst ihn und das spürt er	wir haben diesen antragen diesen antragen
1003  ch_zh_0987.wav	beliebtes ziel ist der stockberg	wir haben diese sich dass die schweizen
2311  ch_lu_2716.wav	der asphalt war hart und uneben	wir haben diesen auch diesen antragen
964  ch_zh_3685.wav	der unfall verursachte zwei tote	wir haben diese antragen diesen antragen
2200  ch_lu_1768.wav	du schmeisst mir doch nicht die tür zu oder	wir haben diesen antragen diesen antragen
1435  ch_sg_2711.wav	sie ist schon vor langer zeit umgezogen	wir haben diesen sich diese sich dieser sind dieser auf der statten
2082  ch_lu_0528.wav	das zeigte sich am dienstagabend	wir haben diesen antragen diesen antragen
2274  ch_lu_1625.wav	wer gewinnt wmgold	wir haben diese antragen diesen antragen
2107  ch_lu_2302.wav	dann drehe sich für ihn die zeit zurück	wir haben wir diesen auch die schweizen
2014  ch_bs_0233.wav	am montag trüb und nass	sie haben sie die schweisen
1802  ch_bs_2437.wav	sie naschte von den pralinen	wir haben diesen sich die schweizen
1537  ch_ag_2389.wav	ja ich glaube jetzt habe ich das verstanden	wir haben diese sich dieser sind dieser antragen
617  ch_gr_1695.wav	sie sind sicher gut vorbereitet	wir haben diesen sich auf die schweizen
1134  ch_zh_0766.wav	torf wird aus hochmooren gewonnen	das ist eine schweisen der schweisen
2236  ch_lu_2271.wav	ich wringe meine nasse kleidung aus	wir haben diesen sich diesen antrag diese antragen
172  ch_vs_1228.wav	der april macht wieder mal was er will	wir haben diesen sind auch der regierungsrat
376  ch_be_1784.wav	ich gewinne sonst nie	wir haben sie diesen sich die schweizen
715  ch_gr_2600.wav	john hatte sich wieder erholt	wir haben diese sich dieser schweisen
1042  ch_zh_1695.wav	sie sind sicher gut vorbereitet	wir haben diesen antragen diesen antragen
130  ch_vs_2668.wav	dann stürzt du dich von einem kliff	wir haben diese sich in dieser geschäften
265  ch_vs_0655.wav	sofort sah er das rotkäppchen	wir haben diese sich die schweizen
1235  ch_sg_0074.wav	vor allem du siehst dich ein bisschen um	wir haben diesen antragen diesen antragen
2089  ch_lu_2667.wav	deshalb stürze ich auch hin und wieder ab	wir haben diesen antrag diesesen antragen
160  ch_vs_2523.wav	ich schaue mir das im auto an	sie haben sie die schweisen
1553  ch_ag_1695.wav	sie sind sicher gut vorbereitet	wir haben diesen sich diese sich die schweizen
322  ch_be_2674.wav	ich bin froh dass ich nicht mehr tanze	wir haben diesen auch diesen antragen
122  ch_vs_2330.wav	der plan wurde fallengelassen	sie haben sie die schweisen
845  ch_zh_1720.wav	endlich wendete sich das schicksal	wir haben diesen auch diesen antrag der schweizen
404  ch_be_2677.wav	in den strassen wurde getanzt	das ist eine sich dass die schweisen
1143  ch_zh_0983.wav	eine antwort wurde nicht bekannt	wir haben diese antragen diesen antragen
1015  ch_zh_1468.wav	weshalb haben sie eigentlich deutschland im auge	wir haben diesen antragen diesen antragen
2201  ch_lu_2261.wav	du malst das ja sehr bunt aus	das ist eine schweisen dass eine schweisen
2016  ch_bs_0227.wav	es gleitet mir gerade aus der hand	wir haben die schweisen die schweizen
1517  ch_ag_0171.wav	jetzt hab ich dich du alter sünder	wir haben diesen sich die schweizigen
2128  ch_lu_1555.wav	das problem sind nicht die kantonsgrenzen	wir haben diesen antrag aber diese antragen
147  ch_vs_0254.wav	diese benötigen viel strom	sie haben die schweisen die schweisen
1865  ch_bs_0633.wav	gut dachte sich der wolf	wir haben diese sich dieser schweisen
891  ch_zh_2638.wav	weil ich deine fantasien spüre	wir haben die schweisen wird die schweisen
1493  ch_sg_1810.wav	am samstag ist es oft sonnig	das ist eine schweisen diese sich dieser auf der schweisen
221  ch_vs_2645.wav	ich stehle ihn aus der vorratskammer	das ist eine schweisen diese sich dass die schweizen
705  ch_gr_2638.wav	weil ich deine fantasien spüre	wir haben diese sich dieser schweisen
1704  ch_ag_2364.wav	der maulwurf gräbt sich durch die erde	wir haben diesen sich die schweizen
880  ch_zh_2611.wav	sie hatte auf der kellertreppe gesessen	das ist eine schweisen diese sich dieser sind dieser sich dieser gesetzt
1326  ch_sg_1180.wav	ich wünsche ihnen einen schönen abend	wir haben diesen auf diesen antragen
121  ch_vs_0241.wav	am donnerstag einzelne regenschauer	wir haben diesen sind auch der regierungsrat
1793  ch_bs_1062.wav	ich sollte immer auf ihn aufpassen	wir haben diesen sich auf die schweizen
1753  ch_ag_2549.wav	sie mussten ihn auf eine lichtung geschleppt haben	wir haben diese sich dieser schweizertschaften
1404  ch_sg_0072.wav	er sieht sie erstaunt an	wir haben diesen auf diesen antragen
1700  ch_ag_0229.wav	ich sage du wirst für sie gekehrt haben	das ist eine schweisen sich dass der schweisen auf der schweisen
868  ch_zh_1668.wav	und wie stoppt man ronaldo	wir haben diesen antragen diesen antragen
1510  ch_ag_2570.wav	schrumpfst du zu einem kleinen käfer zusammen	das ist eine sich dass das die schweizerten dieser für die schweizen
1935  ch_bs_2582.wav	miteinander geschwatzt haben wir	wir haben diesen sich die eine schweizen
1044  ch_zh_4114.wav	ein raunen ging durch die menge'	wir haben diesen sind diesen antragen
215  ch_vs_2686.wav	sie hat es gut getroffen	sie haben sich die schweisen die schweizen
49  ch_vs_2642.wav	sie spürt was du spürst	wir haben diese sich dass die schweizen
1116  ch_zh_3079.wav	wie schätzen sie das niveau bislang ein	wir haben diesen antrag auf diesen antragen
8  ch_vs_0120.wav	das sind unterschiede	sie haben sie die schweisen
2244  ch_lu_1142.wav	sonst ist es dann morgen wieder trocken	wir haben sie diesen sich dieser antragen
1717  ch_ag_1687.wav	und jetzt stopft er sich mit fleisch voll	das ist eine schweisen sich diese schweisen
946  ch_zh_2955.wav	immer wieder werden hier tiere überfahren	wir haben diesen auch diese antragen
960  ch_zh_0171.wav	jetzt hab ich dich du alter sünder	wir haben diese sich die schweizen
1470  ch_sg_2670.wav	mutter war zu boden gestürzt	das ist eine geschäfte dass die schweizen
405  ch_be_0074.wav	vor allem du siehst dich ein bisschen um	wir haben diese antrag auf der stadten
298  ch_be_1142.wav	sonst ist es dann morgen wieder trocken	wir haben diesen sich auf die schweizen
1996  ch_bs_0781.wav	das schutzblech ist abgefallen	wir haben diese sich dieser schweisen
1716  ch_ag_1877.wav	prognose für in den bissen	das ist eine sich dass die schweizen
750  ch_gr_2749.wav	ja sie hatten alle verstanden	wir haben diesen sich dieser sind dieser antragen
1561  ch_ag_1468.wav	weshalb haben sie eigentlich deutschland im auge	wir haben diesen sind diese antragen
2281  ch_lu_2270.wav	ich wringe eure kleidungsstücke nicht aus	wir haben diesen auch diesen antrag der schweizen
1752  ch_ag_1726.wav	wir haben ihn in den turm geworfen	wir haben diesen sich die schweizen
2077  ch_lu_2471.wav	kann es sein das ich ranzig rieche	wir haben diesen auch diesen antragen
200  ch_vs_1774.wav	er ass den kuchen selbst auf	das ist eine schweisen dass das diese schweisen
423  ch_be_1785.wav	du wirst gewinnen das weiss ich	das ist eine schweisen wird eine auf der schweisen
1341  ch_sg_1745.wav	ich zanke gerne mit dir rum	wir haben diesen antragen diesen antragen
501  ch_be_2464.wav	er prahlte nicht gern damit	wir haben diesen antrag die schweizen
1620  ch_ag_1668.wav	und wie stoppt man ronaldo	wir haben diesen sind auch der regierungsrat
1906  ch_bs_0784.wav	übernachten auf dem biohof	wir haben diesen sich die schweizen
264  ch_vs_2724.wav	ihm war unterdessen eine idee gekommen	das ist nicht eine schweissen wieder auf der schweisen
1612  ch_ag_2611.wav	sie hatte auf der kellertreppe gesessen	das ist eine sich dass das die schweizerten
527  ch_be_2710.wav	ich habe gehört das du hier her umziehst	wir haben diese sich dass die schweizen
1604  ch_ag_1536.wav	die bauern fühlen sich brüskiert	das ist eine geschaft dass das die schweisen
1203  ch_zh_0820.wav	die person wurde behandelt	wir haben diesen antragen diesen antragen
443  ch_be_2713.wav	ich bin gerade wirklich unbeholfen	wir haben diesen auch diesen antrag diese sich die schweizigen
967  ch_zh_1723.wav	er warf die flasche zur seite	wir haben diesen auch diesen antragen
531  ch_be_2738.wav	er verschmutzt die taschentücher	das ist eine sich eine schweisen der schweisen
1933  ch_bs_0381.wav	zwei jugendliche finden ihn	wir haben diesen auch diese antragen
1830  ch_bs_2634.wav	ich spucke dir ins gesicht	wir haben die schweissen diesen antragen
1106  ch_zh_1726.wav	wir haben ihn in den turm geworfen	wir haben diesen sind auch der regierungsrat
826  ch_zh_3447.wav	das geschieht mehr schlecht als recht	wir haben diese sich in dieser schweisen
1639  ch_ag_2638.wav	weil ich deine fantasien spüre	das ist eine schweisen sich die schweizen
2214  ch_lu_2711.wav	sie ist schon vor langer zeit umgezogen	wir haben diese antrag aber diesen antragen
493  ch_be_2666.wav	stell dir vor ich stürze	das ist eine schweisen diesen sich dieser auf diesen ausgesetzt
1663  ch_ag_2214.wav	seither hat sie stark abgenommen	wir haben diesen antragen diesen antragen
855  ch_zh_1697.wav	du bereitest ein bad für ihn vor	wir haben diesen auch diesen antragen
2148  ch_lu_1782.wav	wir haben gekochte kartoffeln gemacht	wir haben diesen auch diesen antragen
2289  ch_lu_1786.wav	er hatte damals deutlich gewonnen	wir haben diesen antragen diesen antragen
2278  ch_lu_1180.wav	ich wünsche ihnen einen schönen abend	wir haben diesen antrag auf diesen antragen
2321  ch_lu_2272.wav	tom wrang das tuch aus	wir haben wir diesen auch der regierungsrat
1583  ch_ag_2565.wav	und sein inneres schreit nach blut	wir haben diese sich nicht eine schweizen
787  ch_gr_2615.wav	er sitzt an einem computer	wir haben diesen sich diese antragen
1514  ch_ag_1723.wav	er warf die flasche zur seite	wir haben diese sich dieser schweizertschaften
788  ch_gr_0957.wav	mannschaft integriert	sie haben die schweisen die schweisen
126  ch_vs_0916.wav	die wall street steht unter feuer	das ist eine schweisen die schweizen
1754  ch_ag_2561.wav	eine alte frau schrie auf	wir haben diesen sich diesen antrag der schweizen
2127  ch_lu_1541.wav	aber es gehe auch um medizin	wir haben diesen sind auch der regierungsrat
1542  ch_ag_0575.wav	neue werden kaum noch geschlossen	wir haben diesen sich auf die schweizen
2057  ch_lu_2713.wav	ich bin gerade wirklich unbeholfen	wir haben diesen antrag die schweizen
344  ch_be_1745.wav	ich zanke gerne mit dir rum	wir haben diesen antragen die schweizen
2145  ch_lu_2738.wav	er verschmutzt die taschentücher	wir haben diese sich dieser schweisen
1102  ch_zh_2561.wav	eine alte frau schrie auf	wir haben diesen auch diesen antragen
935  ch_zh_1523.wav	allerdings ist sie nicht selbstverständlich	wir haben diese sich dieser schweizertschaften
2141  ch_lu_2704.wav	er hat mich um diesen gefallen gebeten	wir haben diesen antragen diesen antragen
1539  ch_ag_2410.wav	es fängt langsam an zu regnen	wir haben diesen sich diese sich die schweisen
979  ch_zh_1694.wav	er hatte sich gut vorbereitet	wir haben diesen antrag diesesen antragen
174  ch_vs_2709.wav	ich ziehe gerade ins alte haus um	wir haben diese sich diesen sich dieser sind diesesen
1636  ch_ag_1696.wav	ich bereite den verband vor	das ist eine schweisen der schweisen
1221  ch_zh_1527.wav	aber alle haben dieselben sorgen	wir haben diesen auch nicht eine schweizen
165  ch_vs_1770.wav	es ist mir aus der hand entglitten	sie haben sie die schweissen wieder auf der schweisen
2129  ch_lu_2712.wav	sie sah sehr unbeholfen aus	wir haben diesen antragen diesen antrag der kanton bern
489  ch_be_2672.wav	aber nach was hat sie gesucht	wir haben diese sich dass die schweizen
1312  ch_sg_2689.wav	ich trinke einen schluck bier	wir haben diese sich in dieser schweizen
1429  ch_sg_1595.wav	news aus dem eishockey	das ist eine schweisen diesen sich die schweisen
2316  ch_lu_0459.wav	die fransen sind schwärzlich grau	wir haben diesen antragen diesen antragen
1219  ch_zh_2748.wav	nur verstand sie nicht warum	wir haben diesen sind auch der schweizen
2133  ch_lu_2706.wav	du hast sie gebeten das zu tun	das ist eine schweisen sich dass eine schweisen
713  ch_gr_2614.wav	da drin sitzt noch jemand	wir haben diese sich dieser geschäften
1508  ch_ag_2564.wav	sie zielt auf ihn und schreit	sie haben sich die schweizigen der kanton bern
2260  ch_lu_0063.wav	das auto rast durch die nacht	wir haben diesen sich nicht eine geschäft
485  ch_be_2699.wav	ich umarme dich fest	sie haben diesen sich nicht eine schweizen
2116  ch_lu_2538.wav	sonst schlafe ich am nachmittag ein	wir haben diesen auch diesen antragen
336  ch_be_1625.wav	wer gewinnt wmgold	wir haben diesen auch in diesem antragen
915  ch_zh_2572.wav	nicht wenn ich sie vorher schubse	das ist eine sich nicht eine schweizen
507  ch_be_2538.wav	sonst schlafe ich am nachmittag ein	wir haben diesen sich diesen antragen
1351  ch_sg_2700.wav	du umarmst mich fest	sie haben die schweissen sich die schweisen
1309  ch_sg_0061.wav	also habe ich gepfuscht	das ist eine schweissen wird diese schweisen
2172  ch_lu_2670.wav	mutter war zu boden gestürzt	wir haben diesen antragen diesen antragen
991  ch_zh_2410.wav	es fängt langsam an zu regnen	wir haben diesen sich diese sich die schweisen
1923  ch_bs_0587.wav	wie gehen sie damit um	wir haben diesen auf diesen antragen
1012  ch_zh_2613.wav	jetzt sitze ich zum letzten mal	wir haben diesen antragen diesen antragen
106  ch_vs_1017.wav	jänner im amt war	wir haben diesen antrag auf diesen antragen
1670  ch_ag_1725.wav	ich hab keinen stein geworfen	das ist eine schweisen sich die schweizen
2307  ch_lu_2702.wav	wir umarmen uns fest	das ist eine schweisen sich die schweischen
2286  ch_lu_1745.wav	ich zanke gerne mit dir rum	wir haben diese antragen die schweizen
969  ch_zh_1051.wav	er möchte sich die welt anschauen	wir haben diesen antragen
1922  ch_bs_1699.wav	ich warte vor dem tor	wir haben diesen antragen
1733  ch_ag_1532.wav	schon lieber im hintergrund	wir haben diesen antragen
2229  ch_lu_1787.wav	ich gewinne dieses spiel gerade	wir haben diese sich in diesem geschäft
60  ch_vs_2440.wav	und du hast mich geneckt	wir haben diese sich die schweizen
2216  ch_lu_1595.wav	news aus dem eishockey	wir haben diese sich nicht eine schweisen
913  ch_zh_1696.wav	ich bereite den verband vor	wir haben wir diesen antrag diesese antragen
2184  ch_lu_0072.wav	er sieht sie erstaunt an	wir haben diesen antragen diesen antragen
1681  ch_ag_1255.wav	wer ist jon snow	sie haben diesen sich die eine schweizen
2151  ch_lu_2274.wav	er wringt nichts aus	wir haben diese sich dieser geschäft
747  ch_gr_1255.wav	wer ist jon snow	das ist eine schweisen wieder auf der schweisen
1718  ch_ag_2615.wav	er sitzt an einem computer	das ist eine schweisen sich dass eine schweisen
1290  ch_sg_1784.wav	ich gewinne sonst nie	das ist eine schweisen wird die schweisen
1375  ch_sg_1787.wav	ich gewinne dieses spiel gerade	wir haben wir diesen auch diesen antragen
1656  ch_ag_0198.wav	er war geh	sie haben die schweissen sich die schweisen
1263  ch_sg_2703.wav	sie hatten sich umarmt	sie haben sie diesen sich dieser geschäft
2190  ch_lu_2315.wav	er hat sie erschreckt	wir haben diesen antragen diesen antragen
1697  ch_ag_1692.wav	ich bin von oben rein gekommen	wir haben diese sich die schweisen
2101  ch_lu_2699.wav	ich umarme dich fest	das ist eine sich nicht eine schweisen
241  ch_vs_2334.wav	wir haben die tüten festgehalten	wir haben diese antrag diese schweizertschaften
2322  ch_lu_1196.wav	der sommer bleibt heiss	das ist eine sich nicht eine schweizen
1147  ch_zh_2616.wav	und doch sitzt du jetzt hier	das ist nicht eine sich diese schweizen
2313  ch_lu_1784.wav	ich gewinne sonst nie	wir haben diese sich nicht eine schweisen
1481  ch_sg_2699.wav	ich umarme dich fest	sie haben die schweissen wird diese schweisen
2181  ch_lu_2671.wav	was suchst du denn hier	wir haben diesen sich dieser antragen
2097  ch_lu_0071.wav	ich sehe ihn mir an	wir haben wir diesen auch diesen antragen
1218  ch_zh_1255.wav	wer ist jon snow	das ist eine schweisen sich dass eine schweisen
1801  ch_bs_0234.wav	starker föhn	wir haben diesen antragen
1775  ch_ag_1478.wav	alle wissen es	sie haben sie die schweisen
1113  ch_zh_1691.wav	er kommt von oben rein	wir haben diese sich die schweizen
1157  ch_zh_0559.wav	ich bin happy hier	wir haben diese antragen
796  ch_gr_1478.wav	alle wissen es	sie haben die schweissen sich die schweisen
261  ch_vs_0899.wav	was ist fake	das ist diese schweissen dieser antragen
872  ch_zh_3282.wav	will man sie nicht mehr	wir haben sie diesen sich dieser antragen
1596  ch_ag_1734.wav	aber er hatte nicht widersprochen als sie sich geweigert hatte	das ist eine sich dass die schweisen diese sich die schweizigen
388  ch_be_1814.wav	tiefstwerte um neun grad	wir haben diesen sich die eine schweizen
616  ch_gr_1681.wav	und doch rugby wird immer populärer	wir haben diesen sich diese sich nicht eine schweizen
653  ch_gr_1734.wav	aber er hatte nicht widersprochen als sie sich geweigert hatte	wir haben diese sich dieser sind dieser antragen
545  ch_be_1782.wav	wir haben gekochte kartoffeln gemacht	wir haben diese sich nicht eine schweizen
1347  ch_sg_2714.wav	wir werden wahrscheinlich alle unbeholfen sein	wir haben diesen sich diesen sich dieser auf diesesen ausgesetzen
1580  ch_ag_0366.wav	das werk lässt sich in die kategorie seinen einordnen	wir haben diesen auch diesen antragen diesen antragen
1905  ch_bs_0009.wav	damit ist sie auch für viele bürgerliche wählbar	wir haben diesen sich die eine schweisen diesen antragen
260  ch_vs_1577.wav	hier befinden sich auch nationalparks	wir haben diesen sich die schweizen die schweizen
646  ch_gr_2375.wav	ich stelle diese geräte her und verkaufe sie	sie haben sich die schweissen sich die schweizen
1167  ch_zh_3078.wav	besonders darf man auf den auftritt von trump gespannt sein	wir haben diesen sich diesen antrag der regierungsraten
171  ch_vs_0650.wav	wie die alte frau schnarcht dachte er	das ist eine sich dass die schweizigen dieser auf der schweizen
590  ch_gr_0602.wav	das gespräch führte michael sahli	wir haben diese sich dieser schweisen
982  ch_zh_1870.wav	am dienstag sonnige abschnitte und schneeschauer	wir haben diesen sich diesen sich diese sich die schweizen
565  ch_gr_0213.wav	es brauche mehr stellen für athletinnnen und athleten	wir haben diesen auch diesen antrag diese antragen
641  ch_gr_0589.wav	doch abgeschlossen sind die beratungen damit noch lange nicht	wir haben diesen auch in diesem geschäfte diesesen sich dieser antragen
1806  ch_bs_1116.wav	die kinder bereuen daraufhin ihr verhalten	wir haben diesen sich die schweizigen
1981  ch_bs_0554.wav	auch ich konnte diesem im parlament zustimmen	wir haben diesen antragen diesen antragen
1123  ch_zh_2429.wav	laycock war nicht in der kutsche mitgefahren	wir haben diesen antragen diesen antragen
996  ch_zh_0788.wav	auch bio kommt nicht ganz ohne pestizide aus	wir haben diesen sich die schweizigen diesen antragen
724  ch_gr_2370.wav	sie arbeitet sehr hart für ihr täglich brot	das ist eine sich eine schweisen dass diese schweizen
1625  ch_ag_0238.wav	am montag sonne aber auch etwas nebel	wir haben diesen antragen diesen antragen
849  ch_zh_2567.wav	infolgedessen schrumpft das grasland vor ihren augen	wir haben diesen antragen diesen antragen
1958  ch_bs_2747.wav	ching ping verstand jedes wort	wir haben diesen sich diese sich die schweizen
1518  ch_ag_0617.wav	der vorsprung auf das absolute mehr ist denn auch äusserst knapp	das ist eine sich dass das die schweizen der schweisen
577  ch_gr_2564.wav	sie zielt auf ihn und schreit	wir haben diesen sich diese antragen
900  ch_zh_3718.wav	strategische elemente gelten als unwichtig	wir haben diesen auch diesen antrag der schweizerten
1908  ch_bs_0960.wav	in einer weiteren ehe hatte sie noch eine tochter	wir haben diesen antragen diesen antragen
1917  ch_bs_0020.wav	am sonntag und am montag teilweise sonnig	wir haben diesen sich die eine schweizen
948  ch_zh_1290.wav	der unescoausschuss tagt noch bis zum samstag	das ist eine sich dass die schweisen der schweisen auf der schweizen
1618  ch_ag_0589.wav	doch abgeschlossen sind die beratungen damit noch lange nicht	wir haben diesen auch die schweizerten diesen antragen
642  ch_gr_1873.wav	zeitweise hat es dichtere schleierwolken	sie haben diesen sich diese sich die schweisen auf der schweizen
2109  ch_lu_2470.wav	er fuhr nicht mehr rad weil sein popo weh tat	wir haben diesen antrag auf diesen antragen
1903  ch_bs_1465.wav	und auch immer verlinkt mit weiteren themen	wir haben diesen sich die schweizigen
1424  ch_sg_2275.wav	sie zieht ihrem baby gerade die kleider aus	wir haben diesen antragen diesen antragen
1931  ch_bs_2435.wav	hab auch an einem sahnetöpfchen genascht meister	wir haben diesen sich die eine schweizen der kanton bern
1598  ch_ag_0833.wav	da vinci formte daraus etwas neues	sie haben diesen sich auf die schweizen
1287  ch_sg_2272.wav	tom wrang das tuch aus	sie haben die schweissen sich der schweisen
863  ch_zh_0562.wav	susanne brunner die reaktionen sind gemischt	sie haben diesen sich diese sich die schweisen auf der schweisen
1584  ch_ag_1087.wav	im frühjahr wächst am hang des berges bärlauch	wir haben diesen auch diesen antrag der schweizerten
142  ch_vs_0718.wav	aber bauern sind nicht naturgärtner	wir haben diese sich dieser schweisen
895  ch_zh_3283.wav	zudem gab es viele personelle wechsel	wir haben diesen sich diesen antrag diese schweizen
459  ch_be_1756.wav	es zerriss ihm das herz	wir haben die schweissen wieder auf der schweisen
1648  ch_ag_1494.wav	das gehöre zu einer glaubwürdigen klimapolitik	wir haben diesen antragen diesen antragen
1345  ch_sg_1584.wav	es ist bereits der dritte in dieser brandsaison	wir haben diesen sich die eine schweizerten
827  ch_zh_1250.wav	dereinst soll ein mehrgenerationenhaus entstehen	wir haben diesen auf diesen antrag diesesen antragen
191  ch_vs_1204.wav	zwichendurch kann es auch trockene abschnitte geben	wir haben diesen sich dieser antrag diese schweizigen
