id	target_txt	prediction
1223  ch_lu_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	aber mitbruch ist die hägerlagen umgewerbe
465  ch_zh_2413.wav	kurz vor weihnachten schneite es leicht	kunftsverlienlöften hat es bisher geschnitt
1254  ch_lu_2458.wav	irgendjemand pfuscht mir hier ins handwerk	irgendwett befinden wir uns handref
338  ch_gr_0171.wav	jetzt hab ich dich du alter sünder	jetzt habe ich ein weiteres sender
350  ch_gr_1527.wav	aber alle haben dieselben sorgen	aber auch haben die gleichen sarben
379  ch_gr_1687.wav	und jetzt stopft er sich mit fleisch voll	jetzt stellt sich mit kleines vor
998  ch_ag_0598.wav	die sechsunddreissig jährige greta gysin zieht ins parlament ein	ich fachsendeingjährig zu dieses pannent
1313  ch_lu_2472.wav	meine güte roch der arme ranzig aus dem mund	dort hat dieser motion aus dem null geschneggt
774  ch_sg_2648.wav	geliehen hab ich es nicht gestohlen	was ausgelehnt nicht gestellen
119  ch_vs_0046.wav	ich zog mich also vor dem arzt aus	ich habe es für den arzt abgezogen
153  ch_vs_1991.wav	es ist immer teil von machstrukturen	es sind wir teilweise machtsdrukturin
79  ch_vs_0693.wav	das geheimrezept wildblumen	das kennen wir zept mildpläne
53  ch_vs_0268.wav	also drei grad mehr als heute	es ist vielleicht nicht mehr reicht
403  ch_gr_1861.wav	lockerschnee weisst eine extrem geringe dichte auf	jücker schnell wegs drei gringer richtig
708  ch_sg_1034.wav	seitdem ist der ort selbstständig	sitell ist der angesehen standort
227  ch_be_2673.wav	aber ich tanze nicht nach deiner pfeife	aber ich denke für nicht nachgelagiven
309  ch_gr_2389.wav	ja ich glaube jetzt habe ich das verstanden	ich glaube wollen zuhanden ein verständen
951  ch_ag_1523.wav	allerdings ist sie nicht selbstverständlich	anderen sind es unter pfaft das danklich
931  ch_sg_0924.wav	videoconferencing boomt	sie haben einen kanton bern sehr burd
135  ch_vs_2693.wav	ich trank noch ein glas	ich komme es geld vergleichen
842  ch_sg_2675.wav	du tanzt so leicht wie eine feder	das ist ein leichtlinienfeder
1272  ch_lu_1780.wav	ich kehre laub immer nur ende herbst	ich wisse selbst immer noch ende herbst
704  ch_sg_2501.wav	nicky rollte sich auf die seite	ich habe es auch zeiten gehalten
1120  ch_bs_1499.wav	seit zehn jahren ist sie konstant	sein zehn jahre ist sie entstand
57  ch_vs_2494.wav	ich bin nur so gerannt um dich einzuholen	ich bin heraus geseckt dass sie hier zuhören
127  ch_vs_2678.wav	ich fürchte dass er euch täuscht	dieser fehlt ist
1140  ch_bs_0221.wav	aber er widersprach auch nicht	aber wir haben nicht einmal in der spruch
771  ch_sg_0063.wav	das auto rast durch die nacht	das halten stat necht
1056  ch_ag_2207.wav	ich starre in die weiten des ozeans	da regierungsrätin mahrzehnt gestärkt
828  ch_sg_1142.wav	sonst ist es dann morgen wieder trocken	für das ist es demals nicht tachen
404  ch_gr_1849.wav	drohnen vermessen die schneedicke	trollich vermüssen sie sich nicht begen
322  ch_gr_1723.wav	er warf die flasche zur seite	die exterse auf zeiten gelefen
1022  ch_ag_2601.wav	ich wohne in einem kleinen hotel und erhole mich	ich wohne einen fleinen halten und hallemein
1023  ch_ag_2629.wav	auf diese weise sparst du jede menge zeit	auf diese wess ich ihnen argezeug
1216  ch_lu_0474.wav	wochentags werden eher frühstücksflocken zum frühstück serviert	und wenn der woche gibt es nicht soll zu morgen
1215  ch_lu_2505.wav	dann rülpste er gewaltig und kicherte darüber	dann gebe ich das entsprechende gerecht
438  ch_zh_3686.wav	wir waren total erstaunt über lena	wir sind vergegen einen studien gelehnen
1262  ch_lu_1838.wav	am abend klar mit wenigen wolken	ich möchte mich ein paar wolke
1195  ch_bs_1698.wav	hommes bereitet schon das haus vor	den anmechtlichen ausbehängt
877  ch_sg_2261.wav	du malst das ja sehr bunt aus	die massnahmen sind sehr beitraus
660  ch_zh_2953.wav	die zahl der betroffenen schwankt	die zahl der betroffene schrankt
540  ch_zh_2758.wav	doch es kam andersnein	aber einzelsprecher kommen
1047  ch_ag_2588.wav	sie war ausgeruht hungrig glücklich	sie war uns da waren handlung glecklich
1218  ch_lu_1018.wav	diese volksbräuche sind europaweit verbreitet	die volksbisse einer upolik verdreigen
418  ch_gr_2207.wav	ich starre in die weiten des ozeans	ich stehe entweite des ort c
420  ch_gr_2561.wav	eine alte frau schrie auf	eine alte frau hat aufgeschrauen
1015  ch_ag_1888.wav	am abend nicht ganz wolkenlos	damals ist es nicht ganz wohl aus
311  ch_gr_1864.wav	auf zweitausend metern elf grad	auf 2 mieter eufgräde
873  ch_sg_1754.wav	unglaublich er zerpflückt dich ja	deshalb nimmt die regierung
1013  ch_ag_0228.wav	du hast mir damals alles weg gegessen	dann ist man dazu noch ein alles anpassung
782  ch_sg_1631.wav	die schweiz eine schwimmnation	das wird ein schwienmexion
1219  ch_lu_2539.wav	alter freund du schläfst jetzt ein	alterkollege schlägt jetzt ein
565  ch_zh_3685.wav	der unfall verursachte zwei tote	der umfang hat sie zeit rutegiert
604  ch_zh_0987.wav	beliebtes ziel ist der stockberg	beliebt das ziel ist der stockberg
37  ch_vs_2641.wav	du magst ihn und das spürt er	sie haben dieses gespeit
1256  ch_lu_2302.wav	dann drehe sich für ihn die zeit zurück	den freien sich finden zeit zurück
886  ch_sg_2711.wav	sie ist schon vor langer zeit umgezogen	sie sind von langen gesitzerigerten
1231  ch_lu_0528.wav	das zeigte sich am dienstagabend	das hat sich am zusammenhang gezeigt
1102  ch_bs_2437.wav	sie naschte von den pralinen	sie hat von den kleinen grassen
73  ch_vs_1228.wav	der april macht wieder mal was er will	die rapierin macht einmal verlieren
643  ch_zh_1695.wav	sie sind sicher gut vorbereitet	sie sind ziffer gut vorgerägig
31  ch_vs_2668.wav	dann stürzt du dich von einem kliff	das dürfen sie differn einen kref
686  ch_sg_0074.wav	vor allem du siehst dich ein bisschen um	von allem drei jura explizionen
1238  ch_lu_2667.wav	deshalb stürze ich auch hin und wieder ab	deshalb steht sich die umzehnen ab
166  ch_vs_0655.wav	sofort sah er das rotkäppchen	sofort haben ziele verpflicht gesagt
23  ch_vs_2330.wav	der plan wurde fallengelassen	wir haben noch einmal
61  ch_vs_2523.wav	ich schaue mir das im auto an	ich habe gesagt
446  ch_zh_1720.wav	endlich wendete sich das schicksal	ich habe sich schon gesell gewandelt
616  ch_zh_1468.wav	weshalb haben sie eigentlich deutschland im auge	sie haben es eigentlich das kangonal
48  ch_vs_0254.wav	diese benötigen viel strom	das bleiben viele strom
1277  ch_lu_1555.wav	das problem sind nicht die kantonsgrenzen	für einen sind wir kantonsgrenzen
1165  ch_bs_0633.wav	gut dachte sich der wolf	gut hat sich der ruhe gedacht
122  ch_vs_2645.wav	ich stehle ihn aus der vorratskammer	ich starre unsere vorrätskamla
1004  ch_ag_2364.wav	der maulwurf gräbt sich durch die erde	den murf hätte sich der tarbeit
944  ch_sg_1810.wav	am samstag ist es oft sonnig	am famstag ist eine fachgezöglich
492  ch_zh_2638.wav	weil ich deine fantasien spüre	ich fänge es eingespieren
481  ch_zh_2611.wav	sie hatte auf der kellertreppe gesessen	sie ist auf der kanton stagen gesenzen
777  ch_sg_1180.wav	ich wünsche ihnen einen schönen abend	wir wünschen eine sehr arbeit
22  ch_vs_0241.wav	am donnerstag einzelne regenschauer	wir kommen zu den einzelnen ragenfall
1093  ch_bs_1062.wav	ich sollte immer auf ihn aufpassen	ich sage immer auch viel aufpassen
855  ch_sg_0072.wav	er sieht sie erstaunt an	ich schaue zuerst mundar
1053  ch_ag_2549.wav	sie mussten ihn auf eine lichtung geschleppt haben	sind wir solche vom wichtig geschlebt haben
1000  ch_ag_0229.wav	ich sage du wirst für sie gekehrt haben	ich sage davon aus resultat
469  ch_zh_1668.wav	und wie stoppt man ronaldo	hier stöpte mich gerneude
921  ch_sg_2670.wav	mutter war zu boden gestürzt	die motion ist auf der blogikeit
561  ch_zh_0171.wav	jetzt hab ich dich du alter sünder	jetzt kennen die gesingen
199  ch_be_1142.wav	sonst ist es dann morgen wieder trocken	sie ist ein demormeniedergrochi
1017  ch_ag_1687.wav	und jetzt stopft er sich mit fleisch voll	die nutzachten sich nicht kasfall
116  ch_vs_2686.wav	sie hat es gut getroffen	sie hat es geht getroffen
645  ch_zh_4114.wav	ein raunen ging durch die menge	ein rahmen sie sich wenig gehen
547  ch_zh_2955.wav	immer wieder werden hier tiere überfahren	wie wir wie den regierungen befördern
1016  ch_ag_1877.wav	prognose für in den bissen	der grössige verlindung diskutiert
351  ch_gr_2749.wav	ja sie hatten alle verstanden	ja sieht alle verständen
1052  ch_ag_1726.wav	wir haben ihn in den turm geworfen	wir haben ihnen gedanken
1226  ch_lu_2471.wav	kann es sein das ich ranzig rieche	kann sie das grenzelich geschmecken
101  ch_vs_1774.wav	er ass den kuchen selbst auf	er hat den fächen selber kassen
792  ch_sg_1745.wav	ich zanke gerne mit dir rum	ich senke gerne noch
252  ch_be_2464.wav	er prahlte nicht gern damit	da hat mich andere getreffen
278  ch_be_2710.wav	ich habe gehört das du hier her umziehst	ich hörte einzöglicher hin
165  ch_vs_2724.wav	ihm war unterdessen eine idee gekommen	die michen herressiene geichen
654  ch_zh_0820.wav	die person wurde behandelt	die person ist behandlung
282  ch_be_2738.wav	er verschmutzt die taschentücher	dies verschlägt das gelässte sicher
568  ch_zh_1723.wav	er warf die flasche zur seite	er hat geflassenhaftszeiten gericht
1130  ch_bs_2634.wav	ich spucke dir ins gesicht	aus proktiensgesicht
427  ch_zh_3447.wav	das geschieht mehr schlecht als recht	das sind mir schlechtberecht
244  ch_be_2666.wav	stell dir vor ich stürze	das stellt davon ein stürker
456  ch_zh_1697.wav	du bereitest ein bad für ihn vor	sie machen ein bötcherin beröt
963  ch_ag_2214.wav	seither hat sie stark abgenommen	sie haben zuerst abgenommen
1297  ch_lu_1782.wav	wir haben gekochte kartoffeln gemacht	wir haben auch gerne zugemacht
388  ch_gr_2615.wav	er sitzt an einem computer	herzlichen gründen hinter
389  ch_gr_0957.wav	mannschaft integriert	manchmal sagenther wert
27  ch_vs_0916.wav	die wall street steht unter feuer	planungserklärung 4
1276  ch_lu_1541.wav	aber es gehe auch um medizin	aber es gehe auch medizin
1054  ch_ag_2561.wav	eine alte frau schrie auf	der andere sagen hat aufgeschauen
1206  ch_lu_2713.wav	ich bin gerade wirklich unbeholfen	ist dieser wicklich umgesetzt
1294  ch_lu_2738.wav	er verschmutzt die taschentücher	er nachmals zielchen deckung
536  ch_zh_1523.wav	allerdings ist sie nicht selbstverständlich	aber sie sind noch zwar verständlich
580  ch_zh_1694.wav	er hatte sich gut vorbereitet	herzlich gut vorbereitung
1290  ch_lu_2704.wav	er hat mich um diesen gefallen gebeten	sie haben mich um einen gefällen partei
75  ch_vs_2709.wav	ich ziehe gerade ins alte haus um	ich zige bei den saik hiess
672  ch_zh_1527.wav	aber alle haben dieselben sorgen	aber alle haben die gleiche sorgen
1278  ch_lu_2712.wav	sie sah sehr unbeholfen aus	sie haben sehr umgesehen
66  ch_vs_1770.wav	es ist mir aus der hand entglitten	das sind wir unsere handklich
240  ch_be_2672.wav	aber nach was hat sie gesucht	aber nachwach hat sie geschult
880  ch_sg_1595.wav	news aus dem eishockey	wir muss aus unserem hiesenkeit
763  ch_sg_2689.wav	ich trinke einen schluck bier	ich kinde für die evp
670  ch_zh_2748.wav	nur verstand sie nicht warum	wir haben zu einem verständnis
1282  ch_lu_2706.wav	du hast sie gebeten das zu tun	sie haben gegen dies machen
236  ch_be_2699.wav	ich umarme dich fest	er und mehr hägel fest
1265  ch_lu_2538.wav	sonst schlafe ich am nachmittag ein	das ist vielleicht eine ementagie
516  ch_zh_2572.wav	nicht wenn ich sie vorher schubse	wir fanden es zur schüpfung
258  ch_be_2538.wav	sonst schlafe ich am nachmittag ein	das schweffen nachher tage ein
802  ch_sg_2700.wav	du umarmst mich fest	deshalb nämlich fest
760  ch_sg_0061.wav	also habe ich gepfuscht	ich habe fusst
592  ch_zh_2410.wav	es fängt langsam an zu regnen	das finden sie noch einmal
613  ch_zh_2613.wav	jetzt sitze ich zum letzten mal	jetzt sind zum letzten mal
7  ch_vs_1017.wav	jänner im amt war	langen wir im antrag
970  ch_ag_1725.wav	ich hab keinen stein geworfen	der fanken sagen lehnt
570  ch_zh_1051.wav	er möchte sich die welt anschauen	ich möchte zwar darlegen
1033  ch_ag_1532.wav	schon lieber im hintergrund	die schweizerimienten ganz
514  ch_zh_1696.wav	ich bereite den verband vor	ich macht einen deutparelt
1300  ch_lu_2274.wav	er wringt nichts aus	erdrickt nicht aus
981  ch_ag_1255.wav	wer ist jon snow	wer ist zuerst genau
741  ch_sg_1784.wav	ich gewinne sonst nie	ich kinde für es mehr
1018  ch_ag_2615.wav	er sitzt an einem computer	das ist der kandielter
826  ch_sg_1787.wav	ich gewinne dieses spiel gerade	ich gewinn das bleibe gegeben
714  ch_sg_2703.wav	sie hatten sich umarmt	sie haben sich erwähnt
956  ch_ag_0198.wav	er war geh	herzlich sieht es um
997  ch_ag_1692.wav	ich bin von oben rein gekommen	spiefage ich hier vor
1250  ch_lu_2699.wav	ich umarme dich fest	ich meine das ist fest
142  ch_vs_2334.wav	wir haben die tüten festgehalten	sie haben zweck fest
932  ch_sg_2699.wav	ich umarme dich fest	nicht mehr dafür fest
1246  ch_lu_0071.wav	ich sehe ihn mir an	das fragen wir an
669  ch_zh_1255.wav	wer ist jon snow	wer ist es eigentlich genau
1101  ch_bs_0234.wav	starker föhn	das tätefein
1075  ch_ag_1478.wav	alle wissen es	alle lesen sie
397  ch_gr_1478.wav	alle wissen es	ein wissens
162  ch_vs_0899.wav	was ist fake	was es fehlt
473  ch_zh_3282.wav	will man sie nicht mehr	weil es raum
489  ch_zh_3268.wav	wieviel soll die ausnahmebewilligung künftig kosten	ich versehe die ausnahmegelinigung in zukunft kosten
497  ch_zh_1494.wav	das gehöre zu einer glaubwürdigen klimapolitik	die spjusopsafraktion für diese kinderpolitik dazu
375  ch_gr_2403.wav	erst wenn er genug lärm gemacht hatte gab er sich zufrieden	erst eine genügend gemecht hat war sich zufrieden gewesen
222  ch_be_1193.wav	in der nacht fallen die temperaturen unter dreizehn grad	ernecht haben die tendraturen unter 13 grat
836  ch_sg_2488.wav	die reifen dieses wagens waren nicht kugelsicher	die reichen der mage sind nicht von gesichern gesehen
391  ch_gr_0969.wav	oft können die experimente dann sogar nützlich sein	oft kimmt explimenziell wäre nicht sein
1136  ch_bs_2387.wav	also ich verstehe das gerade inhaltlich überhaupt nicht	also ich verständnis gerade inheitlich überhaupt nicht
537  ch_zh_2994.wav	sie bauten mais bohnen quinoa und kürbisse an	sie haben noch ein bohnen kinder und fürbisabbaut
1251  ch_lu_0930.wav	amazon will quantumcomputing salonfähig machen	einen anderen kanton campiertings auch viel machen
600  ch_zh_0978.wav	sie ermöglicht ausserdem eine vorhersage des kommenden wetters	sie ermöglicht als zudem ich von herrn sage des kommendarats
973  ch_ag_2576.wav	einer von ihnen wurde von seinen kameraden nach vorne geschubst	planungserklärungen ist von seinem ragen nach vorhin geschöpft wurde
619  ch_zh_0038.wav	noch sein vater animierte ralph voltz zum zeichnen	wir sind im fagrauf vollz zum zehn minierg
628  ch_zh_1118.wav	die flanken der beiden räder berühren sich nur punktförmig	der amt der beiden regelieren sie sich noch punktförmig
768  ch_sg_0077.wav	sie hatten sich nie gestritten	sie haben sich lex titel
297  ch_gr_0788.wav	auch bio kommt nicht ganz ohne pestizide aus	auch biokompliegenz ohne pestizidius
1288  ch_lu_0661.wav	der jäger zog seinen pelz ab und ging damit nach hause	wir haben im sinnen peldungsantrag zu sagen und nicht heigen gerne
1197  ch_bs_1854.wav	am samstagvormittag nicht ganz wolkenlos	am senst der falle tag nimmt dann zweite gruss
1181  ch_bs_0419.wav	fahrrad und wanderwege verlaufen um den gesamten stausee	wir werden um wanderwechteilen der ganzen stand sein
1192  ch_bs_2408.wav	hattest du ihn nicht gehört er hat und ganz laut gerufen	das kann nicht käfte ganz nicht gerufen
609  ch_zh_1469.wav	das kann für die schweiz sicher keine valable lösung sein	das kann es aber sicherkeit beruchtbare lesung sein
1019  ch_ag_0764.wav	in der schweiz gibt es nur noch dreitausend brutpaare so frei	der ersutz befürwortet heute burg passer fälle
1108  ch_bs_0591.wav	sie ist schon eine träge sache die schweizer politik	die vielsage fehdaufechten sei es ein paalligit
1028  ch_ag_1491.wav	der negative wert hat sich innert zwei jahren fast verdoppelt	grossrätin wert hat sich inhalt für zwei erfassen der gpötte
908  ch_sg_1741.wav	er zwängte sich durch die öffnung und wühlte weiter	herzlich gibt es sich die effnung und reathiten
662  ch_zh_3318.wav	bern aargau und graubünden melden neue rekorde	bern argankabinden haben wir erneuer gefördert
349  ch_gr_2203.wav	es geht um unsere altstadt und es soll neues entstehen	es geht auch müssen allstag und es sehr neues entstehen
552  ch_zh_0159.wav	beim milliardenprojekt zeichnet sich ein klares nein ab	gemäss den projekt zeichnet sich ein gefälles neu ab
1260  ch_lu_2316.wav	lange krankheit ertrug er zum ende seines lebens geduldig	am ende versucht haben lange franken die lange erträge
1040  ch_ag_2577.wav	ihr rechter arm schürfte über eine scharfe glaskante	zu einer rechtlahmens und einen gressekannten geschäft
1010  ch_ag_2403.wav	erst wenn er genug lärm gemacht hatte gab er sich zufrieden	das muss auf diesen modellen gemacht hat gegen sich das redatan
778  ch_sg_0513.wav	positiv für geldbeutel und umwelt	positiv geht bieter umwert
29  ch_vs_0094.wav	in den alpen und im süden ist es meistens sonnig	ich habe sie dies messen sinnvoll
495  ch_zh_0985.wav	sehr spannend wurde das spiel in den schlussminuten	sehr spannend ist spier in den schlüssminuten geworden
1180  ch_bs_1061.wav	dann soll thor eine katze vom boden aufheben	dann kann es von bude auf kirche
807  ch_sg_0894.wav	um die software braucht man sich ebenfalls keine sorgen zu machen	und die saftwerb möchte man sie volk keinen sagen zu nehmen
975  ch_ag_0413.wav	die spannung zwischen ihm und sema scheint zu explodieren	zu beginnen sie es em und zu explizit
412  ch_gr_2429.wav	laycock war nicht in der kutsche mitgefahren	der nein gehört ist nicht immer gutschen mitgefehren
370  ch_gr_1650.wav	und das ohne eine einzige platte laufen zu lassen	dies ohne einzige plattenlaufen zu jahren
445  ch_zh_1046.wav	die art gehört zu den sklavenhaltenden ameisen	die afkehrt sind es keinen faltenden anmesen
808  ch_sg_2729.wav	ich verscheuche sie mit einer handbewegung	sie versichtlich sind mit kanton bewegen
965  ch_ag_2599.wav	du übernimmst die verantwortung dafür dass sie sich nicht betrinkt	ich gebe es veräntwortet dafür dass sie sich nicht betranfp
70  ch_vs_0122.wav	es bräuchte deshalb zunächst eine vermittlung von dritten	das gleiche in diesem sinnvermittlich vergitten
288  ch_be_2260.wav	ich male sehr gerne die figuren in den malheften aus	ich nehme ein sehr garbeitsverburen in den genauheften aus
149  ch_vs_1775.wav	wir assen alle zusammen den feinen braten	wir haben nicht zusammen der fehlende rat ergessen
667  ch_zh_1533.wav	zurückzuführen ist das einerseits auf die metoobewegung	falls einerseits sich die mietbewegung zurückzukieren
1188  ch_bs_2420.wav	erst jahre später liess er sie endlich los	das diale sticken als andere flussgrund
409  ch_gr_0202.wav	manchmal sind sie bemalt meist auf der innenseite	langmal sind es demalig messens auf einer seite
255  ch_be_1780.wav	ich kehre laub immer nur ende herbst	ich halte immer noch ende herbst
1164  ch_bs_2742.wav	ich fürchte damit verschwendet ihr wertvolle zeit	ich befürchte dann nicht verswenden diesen rat viele zug
784  ch_sg_1143.wav	die temperaturen gehen im norden ein bisschen zurück	die kommissionspräsident der fikominderheit
649  ch_zh_1078.wav	die offiziere zwingen ihn sich nackt ausziehen	pofiziert sind wir immer sich blück abzuziehen
295  ch_be_1796.wav	tatsächlich können sie den killern die münze wieder abnehmen	tatsachlich haben sie diesen kindern angenommen
1269  ch_lu_2504.wav	er trinkt noch einen schluck bier rülpst und schüttelt den kopf	der bericht eines luktiers gebst und schiedletten kopf
1085  ch_bs_1512.wav	dabei fehle es dem staat eigentlich nicht am geld	dabei fähren sie staat eigentlich nicht angelt
1261  ch_lu_0298.wav	auch vollkornbrot mit butter und käse ist zulässig	auch vorstoss mit den kasers zulässig
888  ch_sg_2705.wav	sie bat mich erst gerade ihr den tee zu bringen	sollten die erste gebete ihren der klegfpenden
815  ch_sg_1591.wav	und es sei demokratisch nicht legitim	auch ein sektemokate ist mir redität
410  ch_gr_1134.wav	zudem gibt es dort auch noch mischungen mit cola oder zitronenlimonade	zudem gibt es auch gednomischungen mit frauen und erzeitern
680  ch_sg_2688.wav	wir traffen uns gegenseitig ins gesicht	die gegenseitig ist ins gesicht
867  ch_sg_2473.wav	es hatte den ganzen tag schon ranzig gerochen	wir haben schon einen ganzen genämpfen geschmeckt
1070  ch_ag_0969.wav	oft können die experimente dann sogar nützlich sein	hoft können die experlimenten sogange noch zu verfügen
1111  ch_bs_0036.wav	ich deute ihr mein interesse offensichtlich an	ich gehe das interesse auch versichtlich an
82  ch_vs_1589.wav	ist albert rösti noch der richtige präsident	ich drei per grösster und richterpräsident
1086  ch_bs_0181.wav	viele verkäufer haben von botanik wenig ahnung	die einverkeifen haben von den gar nicht linken
1307  ch_lu_1806.wav	narben falten und akne können ebenfalls behandelt werden	nachher befällt auch repikel können auch behandeln gehen
1253  ch_lu_0529.wav	der ausgang der ständeratswahl in genf ist noch offen	der ausland der stand wir auch im gend ist offen
292  ch_be_1741.wav	er zwängte sich durch die öffnung und wühlte weiter	er hat sich die begefnung gezwenkt und weitergewillt
432  ch_zh_2995.wav	hierbei handelt es sich um einen spielerischen abschluss des kusses	in diesem man hat sich um entspielerische abschlüsse folkus
1303  ch_lu_1027.wav	die einrichtung eines nahverkehrs konnte keine rolle spielen	die richtung eines ratsverfehrens hat keine rolle spelen
1082  ch_bs_2741.wav	er selbst hatte keinen gedanken daran verschwendet	wir sind durchftkeiten gemäss begreifen verschwendet
368  ch_gr_2588.wav	sie war ausgeruht hungrig glücklich	sie war ausgeradet und gleich gewesen
221  ch_be_1811.wav	ab heute mittag örtlich gewitter	er hat keinen nichttag ersten gemittel
87  ch_vs_0898.wav	karrierestart zwischen hightech und tradition	karriersteil zur verschiebung des grossen rats
264  ch_be_2276.wav	du ziehst die doch besser aus	dann ziehen sie dann die befrage
852  ch_sg_2659.wav	meine frau hat sie gestrickt und ich hänge an den dingern	meine frau hat sie gestreckt und ich habe gegenein
84  ch_vs_0867.wav	ist die gesundheit der bevölkerung gewährleistet	aus der gesundheit einer bevölkerung gewährlässt
1110  ch_bs_2392.wav	man geht von haus zu haus und klingelt an der tür	megorfen wussten haus ein leiter ende gehen
200  ch_be_1554.wav	einer davon ist peter eberhard	einer davon ist der peter ebenhert
